屋号・商号,屋号・商号フリガナ,業種（大分類）,業種（中分類）,主な取扱品目,地域,郵便番号,住所,電話番号,さるぼぼコイン
ユートラル,ﾕｰﾄﾗﾙ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0055,上岡本町5-57-5,34-1661,利用不可
遊髪空間　ダンク,ﾕｳﾊﾂｸｳｶﾝﾀﾞﾝｸ,理美容・エステ業（マッサージ業）,美容室,美容業,高山,506-0007,総和町3-106-5,34-7467,利用不可
遊朴館 HIDA GALLERY,ﾕｳﾎｳｶﾝﾋﾀﾞｷﾞｬﾗﾘｰ,小売業,雑貨,器、カトラリー、アロマ製品,高山,506-0844,上一之町26,0577-32-8892,利用不可
ゆう薬局,ﾕｳﾔｯｷｮｸ,小売業,薬局・医薬品,処方箋調剤･薬品,国府,509-4124,国府町村山252-1,72-5567,利用不可
yuzu room,ﾕｽﾞﾙｰﾑ,理美容・エステ業（マッサージ業）,マッサージ,マッサージ,高山,506-0052,下岡本町2111-8,70-8110,利用可能
㈲柚原商店,ﾕﾊﾗｼｮｳﾃﾝ,小売業,ガソリンスタンド・燃料,石油製品,清見,506-0102,清見町三日町292,68-2005,利用不可
㈲ゆはら染工　直売店,ﾕﾊﾗｾﾝｺｳﾁｮｸﾊﾞｲﾃﾝ,小売業,その他小売り,のれん・かばん・マスク他,高山,506-0808,松本町38-1,36-2113,利用可能
㈲ゆはら染工　本店,ﾕﾊﾗｾﾝｺｳﾎﾝﾃﾝ,小売業,その他小売り,のれん・かばん・マスク他,高山,506-0808,松本町103-3,32-2113,利用可能
ユリ美容室,ﾕﾘﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0032,千島町424-3,33-2998,利用不可
YURURI,ﾕﾙﾘ,理美容・エステ業（マッサージ業）,マッサージ,リラクゼーション,高山,506-0035,新宮町1694-1カメオ新宮221,090-5453-5577,利用不可
洋菓子工房KAWAMURA,ﾖｳｶﾞｼｺｳﾎﾞｳｶﾜﾑﾗ,小売業,パン・菓子,洋生菓子・焼菓子,高山,506-0823,森下町2-150,57-8823,利用可能
陽光園,ﾖｳｺｳｴﾝ,小売業,その他小売り,花卉・観葉植物販売・リース,高山,506-0035,新宮町2373,33-8034,利用可能
yoga room YUJ,ﾖｶﾞﾙｰﾑﾕｼﾞｭ,生活関連業,その他各種教室,ヨガ,高山,506-0803,日の出町3-12-3,34-4562,利用不可
㈲　横田電機,ﾖｺﾀﾃﾞﾝｷ,小売業,その他小売り,電動工具・産業機器,高山,506-0052,下岡本町1168-3,33-0109,利用可能
ヨコ美容室,ﾖｺﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0818,江名子町2380,33-1350,利用不可
横山商会,ﾖｺﾔﾏｼｮｳｶｲ,自動車販売・修理業,自転車・バイク,自転車・電動カート･電動自転車,丹生川,506-2123,丹生川町町方54,78-1051,利用不可
横山長生治療院,ﾖｺﾔﾏﾁｮｳｾｲﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,整体,整体,高山,506-0824,片野町5-413,36-1383,利用不可
吉川母乳相談室,ﾖｼｶﾜﾎﾞﾆｭｳｿｳﾀﾞﾝｼﾂ,理美容・エステ業（マッサージ業）,マッサージ,母乳マッサージ,清見,506-0101,清見町牧ケ洞4446-7,68-2576,利用不可
吉田製麺所,ﾖｼﾀﾞｾｲﾒﾝｼｮ,飲食業,麺類店,うどん,高山,506-0031,西之一色町3-609-12,35-5510,利用可能
吉村ミュージックセンター,ﾖｼﾑﾗﾐｭｰｼﾞｯｸｾﾝﾀｰ,小売業,その他小売り,CD・DVD,高山,506-0017,朝日町24,33-0050,利用可能
義基,ﾖｼﾓﾄ,小売業,その他小売り,絵画,高山,506-0011,本町2-52-3,32-0587,利用不可
与八郎商店　陣屋前朝市店,ﾖﾊﾁﾛｳｼｮｳﾃﾝｼﾞﾝﾔﾏｴｱｻｲﾁﾃﾝ,小売業,食料品,野菜・木工品,高山,506-0012,八軒町1-5,090-1238-1676,利用不可
よもぎ蒸しサロン　Mantap！,ﾖﾓｷﾞﾑｼｻﾛﾝﾏﾝﾀｯﾌﾟ,理美容・エステ業（マッサージ業）,美容サロン,よもぎ蒸し,高山,506-0005,七日町,090-7686-9938,利用可能
ラ・パージュ,ﾗ･ﾊﾟｰｼﾞｭ,理美容・エステ業（マッサージ業）,美容室,美容業　カット・パーマなど,高山,506-0803,日の出町2-89-2,34-3649,利用不可
ら・ぶーけ,ﾗ･ﾌﾞｰｹ,飲食業,酒場,スナック,高山,506-0007,総和町1-21,34-3775,利用不可
美容室 ラ・ボーテ,ﾗ･ﾎﾞｰﾃ,理美容・エステ業（マッサージ業）,美容室,美容サービス,高山,506-0032,千島町452-16,34-9895,利用可能
ラーメン　かもん,ﾗｰﾒﾝｶﾓﾝ,飲食業,麺類店,ラーメン,高山,506-0011,本町2-19,0577-70-1233,利用不可
らーめん川路,ﾗｰﾒﾝｶﾜｼﾞ,飲食業,麺類店,味噌ラーメン,高山,506-0026,花里町6－19アルコーブ花里3号,0577-70-1743,利用不可
ライオン理容室,ﾗｲｵﾝﾘﾖｳｼﾂ,理美容・エステ業（マッサージ業）,理容室,理容業,高山,506-0026,花里町6-11,0577-32-1685,利用可能
FOODS&BAR来夢来人,ﾗｲﾑﾗｲﾄ,飲食業,酒場,酒類・料理,上宝,506-1317,上宝町本郷634-1,0578-86-2481,利用不可
らいむ　らいと,ﾗｲﾑﾗｲﾄ,理美容・エステ業（マッサージ業）,理容室,理容、美容,朝日,509-3306,朝日町見座805-3,55-3815,利用不可
LOUNGE　BAR　Gee,ﾗｳﾝｼﾞﾊﾞｰｼﾞｰ,飲食業,酒場,酒類・軽食,高山,506-0017,朝日町33-2,35-2231,利用可能
駱駝,ﾗｸﾀﾞ,飲食業,酒場,居酒屋,高山,506-0016,末広町32-2,36-0233,利用不可
楽房　洋,ﾗｸﾎﾞｳﾋﾛ,飲食業,食堂,ハンバーグ　他,高山,506-0055,上岡本町4-5,32-8639,利用不可
楽リラクゼーション惣助店,ﾗｸﾘﾗｸｾﾞｰｼｮﾝｿｳｽｹﾃﾝ,理美容・エステ業（マッサージ業）,マッサージ,リラクゼーション,高山,506-0054,岡本町1-64,090-1742-1684,利用可能
LAZ DRIG DEUX,ﾗｽﾞﾄﾞﾘｯｸﾞﾄﾞｩ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0001,冬頭町1450-29,57-7577,利用可能
ラスピーニ（靴のハラダ）,ﾗｽﾋﾟｰﾆ(ｸﾂﾉﾊﾗﾀﾞ),小売業,衣料品・履物,婦人靴及びバッグ・財布,高山,506-0011,本町4-48,32-2145,利用可能
ラスリーズ,ﾗｽﾘｰｽﾞ,小売業,パン・菓子,ケーキ販売、喫茶店,国府,509-4119,国府町広瀬町476-2,72-2124,利用可能
ラフテル,ﾗﾌﾃﾙ,理美容・エステ業（マッサージ業）,理容室,理容,高山,506-0032,千島町73-4,080-3662-2519,利用不可
Lamia　ラ・ミア,ﾗﾐｱ,小売業,衣料品・履物,婦人服,高山,506-0054,岡本町4-262-4,34-8820,利用可能
L'ALLURE,ﾗﾘｭｰﾙ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0031,西之一色町1－92－7,090-3459-8097,利用可能
藍花珈琲店,ﾗﾝｶｺｰﾋｰﾃﾝ,飲食業,喫茶店,珈琲・紅茶・ｼﾞｭｰｽ･軽食,高山,506-0846,上三之町93,32-3887,利用可能
ランドリーハウス,ﾗﾝﾄﾞﾘｰﾊｳｽ,生活関連業,洗濯業,衣類・布団・カーペット・その他,一之宮,509-3505,一之宮町1935-1,090-3850-1547,利用可能
㈱Lanps,ﾗﾝﾌﾟｽ,自動車販売・修理業,自動車,軽トラカーゴBOX,久々野,509-3205,久々野町久々野1900-28,70-8905,利用可能
RIAbrow,ﾘｱﾌﾞﾛｳ,理美容・エステ業（マッサージ業）,美容サロン,アイブロウ、マツヤニセラピー,高山,506-0004,桐生町2-349-3ビューティースタジオ　ザ・ムーン2階,090-3421-9058,利用可能
Ｌｉｅｎ　ｄｅ　Ｃｏｅｕｒ,ﾘｱﾝﾄﾞｸｰﾙ,生活関連業,ペット関連,トリミングサロン,高山,506-0052,下岡本町2177-2,62-9911,利用不可
Lisa.Lisa,ﾘｻﾘｻ,生活関連業,その他各種教室,雑貨　バランスボール,清見,506-0101,清見町牧ケ洞2513-2,090-7307-6539,利用可能
Little Village BIRTH,ﾘﾄﾙヴｨﾚｯｼﾞﾊﾞｰｽ,飲食業,酒場,飲食,高山,506-0011,本町3丁目55番地,0577-70-8555,利用可能
Lino,ﾘﾉ,理美容・エステ業（マッサージ業）,美容サロン,まつ毛と美眉スタイリング,高山,506-0052,下岡本町1119-2 MA MAISON2-C,090-5465-4218,利用不可
リプリー美容室,ﾘﾌﾟﾘｰﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,美容全般,高山,506-0051,中山町13,35-5838,利用不可
RIBON,ﾘﾎﾞﾝ,飲食業,酒場,アルコール類,高山,506-0017,朝日町23朝日ビル２F,57-9850,利用不可
理容　下垣内,ﾘﾖｳｼﾓｶﾞｲﾄ,理美容・エステ業（マッサージ業）,理容室,カット・シェービング・パーマ等,国府,509-4119,国府町広瀬町491番地2,72-3333,利用不可
理容　しん,ﾘﾖｳｼﾝ,理美容・エステ業（マッサージ業）,理容室,理容,高山,506-0056,緑ケ丘町2-18,34-2284,利用不可
料亭　洲さき,ﾘｮｳﾃｲｽｻｷ,飲食業,料亭,料亭,高山,506-0821,神明町4-14,32-0023,利用可能
理容　とめ,ﾘﾖｳﾄﾒ,理美容・エステ業（マッサージ業）,理容室,カット、パーマ、ヘアーカラー,清見,506-0101,清見町牧ケ洞1730,0577-68-2117,利用不可
理容　ナカヤ,ﾘﾖｳﾅｶﾔ,理美容・エステ業（マッサージ業）,理容室,カット･シェービング,高山,506-0007,総和町1-56-2,32-5273,利用不可
理容はやし,ﾘﾖｳﾊﾔｼ,理美容・エステ業（マッサージ業）,理容室,理容一般,高山,506-0058,山田町1523-24,34-1469,利用不可
理容飛騨,ﾘﾖｳﾋﾀﾞ,理美容・エステ業（マッサージ業）,理容室,理容室,高山,506-0851,大新町1-39,33-4832,利用可能
理容ふなさか,ﾘﾖｳﾌﾅｻｶ,理美容・エステ業（マッサージ業）,理容室,理容室,国府,509-4102,国府町八日町357-2,72-3179,利用不可
理容ホービ,ﾘﾖｳﾎｰﾋﾞ,理美容・エステ業（マッサージ業）,理容室,理容,高山,506-0026,花里町4-65,32-0953,利用不可
理容　村川,ﾘﾖｳﾑﾗｶﾜ,理美容・エステ業（マッサージ業）,理容室,理容業務,高山,506-0842,下二之町24,34-6688,利用不可
理容　もりわき,ﾘﾖｳﾓﾘﾜｷ,理美容・エステ業（マッサージ業）,理容室,理容店,高山,506-0834,宗猷寺町35-3,34-2323,利用不可
理容やまこし,ﾘﾖｳﾔﾏｺｼ,理美容・エステ業（マッサージ業）,理容室,理容,高山,506-0831,吹屋町106,33-1428,利用不可
料理旅館　奥飛騨山草庵饗家（きょうや）,ﾘｮｳﾘﾘｮｶﾝｵｸﾋﾀﾞｻﾝｿｳｱﾝｷｮｳﾔ,ホテル・旅館業等,旅館,料理旅館,奥飛騨温泉郷,506-1432,奥飛騨温泉郷一重ケ根212-84,0578-89-2517,利用不可
理容ワタナベ,ﾘﾖｳﾜﾀﾅﾍﾞ,理美容・エステ業（マッサージ業）,理容室,カット　顔そり等,高山,506-0053,昭和町1-213,0577-32-5346,利用不可
旅館　山水,ﾘｮｶﾝｻﾝｽｲ,ホテル・旅館業等,ホテル,宿泊・宴会・お食事,奥飛騨温泉郷,506-1434,奥飛騨温泉郷福地850,0578-89-2216,利用不可
旅館四反田,ﾘｮｶﾝｼﾀﾝﾀﾞ,ホテル・旅館業等,旅館,宴会料理・法要料理・宿泊,丹生川,506-2133,丹生川町北方1284,0577-78-1143,利用不可
旅館　たかひら,ﾘｮｶﾝﾀｶﾋﾗ,ホテル・旅館業等,旅館,宿泊、食事,朝日,509-3314,朝日町西洞491,56-1110,利用不可
旅館　田邊,ﾘｮｶﾝﾀﾅﾍﾞ,ホテル・旅館業等,旅館,宿泊や飲食、ご宴会,高山,506-0014,相生町58,32-0529,利用可能
旅荘　つゆくさ,ﾘｮｿｳﾂﾕｸｻ,ホテル・旅館業等,旅館,宿泊サービス,奥飛騨温泉郷,506-1433,奥飛騨温泉郷平湯621-1,0578-89-2620,利用可能
リラクゼーション　グリグリ,ﾘﾗｸｾﾞｰｼｮﾝｸﾞﾘｸﾞﾘ,理美容・エステ業（マッサージ業）,マッサージ,揉みほぐし,高山,506-0052,下岡本町1848-1O2マンション１階右側,070-8474-7006,利用可能
リラクゼーションサロン　クオレ,ﾘﾗｸｾﾞｰｼｮﾝｻﾛﾝｸｵﾚ,理美容・エステ業（マッサージ業）,美容室,理容、美容、エステ、ボディケア,朝日,509-3325,朝日町万石118-3,55-1073,利用不可
リラクゼーション　HANA,ﾘﾗｸｾﾞｰｼｮﾝﾊﾅ,理美容・エステ業（マッサージ業）,エステ,リラクゼーション、エステ,高山,506-0802,松之木町2523-1,090-1860-0162,利用可能
リラクゼーション　ＬＵＣＬＥ,ﾘﾗｸｾﾞｰｼｮﾝﾙｸﾙ,理美容・エステ業（マッサージ業）,エステ,リラクゼーション,高山,506-0838,馬場町2-56,090-7024-6831,利用可能
る・しえる,ﾙ･ｼｴﾙ,飲食業,喫茶店,ケーキ,高山,506-0004,桐生町1-156-1,70-2888,利用可能
レストラン　ル・ミディ,ﾙ･ﾐﾃﾞｨ,飲食業,レストラン,飲食業,高山,506-0011,本町2-85,36-6386,利用可能
ROOT body care salon,ﾙｰﾄﾎﾞﾃﾞｨｹｱｻﾛﾝ,理美容・エステ業（マッサージ業）,マッサージ,タイ古式マッサージ、ヘッドスパ,高山,506-0013,有楽町46番地SINGビル1階,080-8840-9406,利用可能
ルーブル美容室,ﾙｰﾌﾞﾙﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,ｶｯﾄ･ﾊﾟｰﾏ･ｶﾗｰ･着付,高山,506-0807,三福寺町217-1,33-1490,利用不可
Cafe＆Rest　Room３３５,ﾙｰﾑ335,飲食業,レストラン,飛騨牛ｶﾚｰ､唐揚げ定食,清見,506-0102,高山市清見町三日町171,70-1335,利用可能
るえボトルズ,ﾙｴﾎﾞﾄﾙｽﾞ,小売業,酒屋,クラフトビールナチュラルワイン,高山,506-0025,天満町4-45-2,070-0986-0201,利用不可
Ｌｅ　Ｐａｉｎ　Ｍｕｊｏ,ﾙﾊﾟﾝﾑｼﾞｮｰ,小売業,パン・菓子,パン,高山,506-0851,大新町2-22,77-9912,利用可能
ルピア,ﾙﾋﾟｱ,小売業,雑貨,輸入雑貨・婦人衣料・ギフト用品,高山,506-0026,花里町4-1,33-3906,利用可能
ルビコンエンジニアリング合同会社,ﾙﾋﾞｺﾝｴﾝｼﾞﾆｱﾘﾝｸﾞｺﾞｳﾄﾞｳｶﾞｲｼｬ,建設業,住宅建築,住宅リホーム,高山,506-0055,上岡本町1751番地13,70-1060,利用不可
Le.mimi,ﾙﾐﾐ,理美容・エステ業（マッサージ業）,美容室,ネイルケア・ジェルネイル,高山,506-0855,愛宕町69,090-8075-3991,利用不可
Rund hair salon,ﾙﾝﾄﾍｱｻﾛﾝ,理美容・エステ業（マッサージ業）,美容室,美容サービス,高山,506-0053,昭和町2-99-2GRADE-1 1F   104号,0577-57-9161,利用可能
れざん,ﾚｻﾞﾝ,小売業,雑貨,食器・洋服・雑貨,高山,506-0053,昭和町2-87-1,35-3775,利用不可
レストイン喜平次,ﾚｽﾄｲﾝｷﾍｲｼﾞ,飲食業,食堂,飲食,清見,506-0102,清見町三日町1382,68-2751,利用不可
レストハウス　白樺,ﾚｽﾄﾊｳｽｼﾗｶﾊﾞ,飲食業,食堂,レンタルスキー・食堂,丹生川,506-2252,丹生川町久手カウ屋朴　朴の木平スキー場,79-2567,利用可能
レストラン　クレソン,ﾚｽﾄﾗﾝｸﾚｿﾝ,飲食業,レストラン,飛騨牛ステーキ,高山,506-0013,有楽町46　シングビル1F,32-6976,利用不可
レストラン真風,ﾚｽﾄﾗﾝｼﾝﾌﾟｳ,飲食業,中華料理店,中華料理,高山,506-0824,片野町6-67-1,34-9263,利用可能
ﾚｽﾄﾗﾝﾊﾞﾙ 三ノ町倶楽部,ﾚｽﾄﾗﾝﾊﾞﾙｻﾝﾉﾏﾁｸﾗﾌﾞ,飲食業,酒場,一品料理･宴会コース,高山,506-0844,上一之町45-4,35-5022,利用可能
レストラン　ピーターパン,ﾚｽﾄﾗﾝﾋﾟｰﾀｰﾊﾟﾝ,飲食業,レストラン,各種定食・ｾｯﾄもの･ﾗｰﾒﾝ,高山,506-0824,片野町6-155,35-1081,利用可能
レッドヘッド,ﾚｯﾄﾞﾍｯﾄﾞ,理美容・エステ業（マッサージ業）,理容室,カット・パーマ,高山,506-0004,桐生町7-97,36-2974,利用不可
LENNON,ﾚﾉﾝ,小売業,衣料品・履物,メンズ・レディースファッション,高山,506-0011,本町3-11,34-0234,利用可能
ロイヤル化粧品㈱ 代理店　肥垣津,ﾛｲﾔﾙｹｼｮｳﾋﾝ,小売業,その他小売り,化粧品・サプリメント,高山,506-0825,石浦町2-291,34-8357,利用可能
ロイヤル化粧品 古垣内郁美代理店,ﾛｲﾔﾙｹｼｮｳﾋﾝ,小売業,その他小売り,化粧品,高山,506-0052,下岡本町1468-7,090-5030-5646,利用不可
ロイヤル化粧品㈱代理店,ﾛｲﾔﾙｹｼｮｳﾋﾝﾀﾞｲﾘﾃﾝ,小売業,その他小売り,化粧品・サプリメント,高山,506-0055,上岡本町5-250,35-2082,利用不可
ロイヤル化粧品㈱代理店,ﾛｲﾔﾙｹｼｮｳﾋﾝﾀﾞｲﾘﾃﾝ,小売業,その他小売り,化粧品・サプリメント,高山,506-0004,桐生町3-286,32-5393,利用不可
ロイヤルナンハウス　岡本店,ﾛｲﾔﾙﾅﾝﾊｳｽｵｶﾓﾄﾃﾝ,飲食業,レストラン,ご飯類,高山,506-0054,岡本町4-311-1,36-0035,利用可能
LOW,ﾛｳ,理美容・エステ業（マッサージ業）,美容サロン,ﾌｪｲｼｬﾙﾜｯｸｽ脱毛専門店,高山,506-0811,大洞町440-34,090-5038-5418,利用不可
ローソン高山一之宮店,ﾛｰｿﾝﾀｶﾔﾏｲﾁﾉﾐﾔﾃﾝ,小売業,コンビニエンスストア,食品・日用雑貨,一之宮,509-3505,一之宮町石原5486-1,53-3685,利用不可
ローソン高山久々野店,ﾛｰｿﾝﾀｶﾔﾏｸｸﾞﾉﾃﾝ,小売業,コンビニエンスストア,日用品､飲料､菓子,久々野,509-3214,久々野町無数河435,52-3763,利用不可
ローソン　高山三福寺店,ﾛｰｿﾝﾀｶﾔﾏｻﾝﾌｸｼﾞﾃﾝ,小売業,コンビニエンスストア,食品・酒類・日用品他,高山,506-0807,三福寺町215-1,37-0131,利用不可
ローソン高山下岡本店,ﾛｰｿﾝﾀｶﾔﾏｼﾓｵｶﾓﾄﾃﾝ,小売業,コンビニエンスストア,日用品･菓子･飲料,高山,506-0052,下岡本町1879,36-8163,利用不可
ローソン　高山西之一色店,ﾛｰｿﾝﾀｶﾔﾏﾆｼﾉｲｯｼｷﾃﾝ,小売業,コンビニエンスストア,食料品・日用雑貨,高山,506-0031,西之一色町1-65-1,36-3339,利用不可
ローソン　高山山田店,ﾛｰｿﾝﾀｶﾔﾏﾔﾏﾀﾞﾃﾝ,小売業,コンビニエンスストア,食品・酒類・日用品他,高山,506-0058,山田町1543-8,,利用不可
ログ　えんくう,ﾛｸﾞｴﾝｸｳ,飲食業,中華料理店,中華料理,丹生川,506-2123,丹生川町町方1480-5,0577-78-1141,利用不可
Logica docco,ﾛｼﾞｶﾄﾞｯｺ,飲食業,専門料理店,パスタ料理とお酒を楽しめるお店,高山,506-0013,有楽町18番地,70-9021,利用可能
ロマン美容室,ﾛﾏﾝﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,美容一般,高山,506-0003,本母町397,34-6566,利用可能
ワークショップ　１・２・３,ﾜｰｸｼｮｯﾌﾟ1･2･3,小売業,衣料品・履物,作業服全般・長靴・手袋,高山,506-0807,三福寺町277-1,36-1707,利用可能
Work-shop Sympa,ﾜｰｸｼｮｯﾌﾟｼﾝﾊﾟ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0054,岡本町1-124-1,34-0009,利用可能
ワークマンプラス高山三福寺店,ﾜｰｸﾏﾝﾌﾟﾗｽﾀｶﾔﾏｻﾝﾌｸｼﾞﾃﾝ,小売業,衣料品・履物,作業服・用品・カジュアルウエア,高山,506-0807,三福寺町3321-5,32-7577,利用不可
